DetectorID,Location
3.2.1,I-215 EB Decatur On-Ramp between Decatur Road and CC-215 EB
439.1.334,I-15 NB between Sloan Road and 0.71 Miles south of Sloan Road
691.2.525,US-95 SB between Durango and Grand Teton
704.1.727,I-11 SB between Silverline Rd and US-95
452.1.508,US-95 NB between 11.71 Miles south of Sloan Road and 12.71 Miles south of Sloan Road
488.2.257,CC-215 WB between Drawback St and Stephanie Street
692.1.516,US-95 SB Ann Rd Off-Ramp between Tropical and Clark County 215
355.1.156,I-15 NB between Wigwam Avenue and Serene Avenue
394.1.434,I-15 SB between Centennial Parkway and Clark County 215
23.1.8,I-215 WB/I-15 NB between CC-215 WB and I-15 NB
520.3.153,I 15 Exp SB between Pebble and Serene Avenue
118.2.763,I-15 SB MLK/Charleston Off-Ramp between I-15 SB and Martin Luther King Boulevard
634.1.501,I-215 SB Cheyenne OnRamp between Sunset Road and Durango
668.2.555,CC-215 EB between Lake Mead Boulevard and Cheyenne Avenue
577.1.424,I-15 NB Lamb On Ramp between Lamb and I-15 NB
714.2.726,I-11 NB between Silverline Rd and US-93
162.1.197,US-95 SB between US-95 SB Rancho Off-Ramp and US-95 SB Rancho On-Ramp
652.1.495,I-215 NB Summerlin OnRamp between Sunset Road and Durango
339.2.203,US-95 NB between US-95 SB Decatur Off-Ramp and US-95 SB Decatur On-Ramp
72.1.22,I-15 NB between I-15 NB Spring Mtn Off-Ramp and I-15 NB Flamingo On-Ramp
398.2.251,I-15 NB between Alexander Road and Craig Road
519.2.144,I 15 Exp SB between Blue Diamond Road and Wigwam Avenue
380.2.105,I-515 NB between Sunset Road and Warm Springs Road
212.2.364,I-515 SB between I-515 SB Charleston Off-Ramp and I-515 SB Charleston On-Ramp
407.1.226,US-95 SB between Lake Mead Boulevard and Half Moon Bay
454.1.512,US-95 NB between CC-215 EB and Decatur Road
458.2.21,I 15 Exp NB between Tompkins and Harmon Ave
424.3.334,I-15 SB between 0.71 Miles south of Sloan Road and Sloan Road
328.1.195,US-95 NB between US-95 NB Valley View Off-Ramp and US-95 NB Valley View On-Ramp
98.2.34,I-15 SB between I-15 SB Sahara On-Ramp and I-15 SB Spring Mtn Off-Ramp
396.1.243,I-15 NB between Cartier Avenue and Colton Avenue
389.2.247,I-15 SB between Alexander Road and Colton Avenue
400.3.430,I-15 NB between Smiley Road and Ann Road
207.1.63,I-515 NB between I-515 NB Eastern Off-Ramp and I-515 NB Eastern On-Ramp
8.2.5,CC-215 WB between I-215 WB to I-15 SB Ramp and I-15 SB to I-215 WB/EB Ramp
98.3.32,I-15 SB between I-15 SB Sahara On-Ramp and I-15 SB Spring Mtn Off-Ramp
443.1.344,I-15 NB between 3.71 Miles south of Sloan Road and 4.71 Miles south of Sloan Road
689.1.522,US-95 SB between Clark County 215 and Elkhorn
327.1.205,US-95 SB between US-95 SB Valley View On-Ramp and US-95 SB Rancho Off-Ramp
535.1.157,Silverado Ranch between I-15 SB and Silverado Ranch
2.731.553,CC-215 EB between  and 
421.1.505,US-95 NB between Clark County 215 and Ann Road
607.1.486,CC-215 EB between Charleston Boulevard and Sahara Avenue
374.1.289,I-515 NB between Boulder Highway and Viking Road
72.2.28,I-15 NB between I-15 NB Spring Mtn Off-Ramp and I-15 NB Flamingo On-Ramp
429.1.345,I-15 SB between 5.71 Miles south of Sloan Road and 4.71 Miles south of Sloan Road
443.2.343,I-15 NB between 3.71 Miles south of Sloan Road and 4.71 Miles south of Sloan Road
705.4.731,I-11 SB between US-95 and Buchanan Blvd
101.1.755,I-15 NB Sahara On-Ramp between Sahara Avenue and I-15 NB
640.1.472,I-215 NB Tropicana OnRamp between Lake Mead Boulevard and I-515 SB College Off Ramp
117.3.43,I-15 SB between I-15 SB MLK/Charleston Off-Ramp and I-15 SB MLK/Charleston On-Ramp
674.2.463,CC-215 EB between I-515 SB College On Ramp and Charleston Boulevard
495.1.263,215 WB to AC NB between CC-215 WB and AC NB
516.2.149,I 15 Exp NB between Robindale Road and Blue Diamond Road
555.1.405,I-515 SB WagonWheel On Ramp between WagonWheel and I-515 SB
350.1.158,I-15 SB between Pyle Avenue and Serene Avenue
713.2.727,I-11 NB between US-95 and Silverline Rd
667.1.729,CC-215 EB between I-515 SB College Off Ramp and Lake Mead Boulevard
350.3.314,I-15 SB between Pyle Avenue and Serene Avenue
459.1.22,I 15 Exp NB between Flamingo Road and Twain
666.2.457,CC-215 WB between I-515 SB College On Ramp and I-515 SB College Off Ramp
675.3.452,CC-215 EB between I-515 SB College On Ramp and I-515 SB College Off Ramp
356.2.308,I-15 NB between Serene Avenue and Pyle Avenue
605.2.493,CC-215 EB between I-515 SB College Off Ramp and I-515 SB College On Ramp
361.2.293,I-515 SB between Dell Santos Drive and Viking Road
454.2.513,US-95 NB between CC-215 EB and Decatur Road
469.2.251,I-15 NB Craig Road Off Ramp between I-15 NB and Craig Road
137.1.80,I-15 NB between US-95 NB to I-15 NB Ramp and I-15 NB Wash./D-Street Off-Ramp
351.2.316,I-15 SB between Erie Avenue and Pyle Avenue
415.3.215,US-95 NB between Lake Mead Boulevard and Rainbow Boulevard
61.3.18,I-15 NB Tropicana On-Ramp between I-15 NB and Tropicana Avenue
438.1.331,I-15 NB between Roban Street and Sloan Road
171.2.47,US-95 SB to I-15 SB Ramp between US-95 SB and I-15 SB
476.1.261,CC-215 WB between Windmill Ln and Warm Springs Road
337.2.211,US-95 SB between US-95 SB Decatur Off-Ramp and US-95 SB Decatur On-Ramp
418.3.234,US-95 NB between Craig Road and Cheyenne Avenue
504.1.273,CC-215 WB between Buffalo and Cimmaron
166.1.210,US-95 SB between US-95 SB Rancho On-Ramp and US-95 SB to I-15 SB Ramp
621.1.477,I-215 SB Flamingo OffRamp between Charleston Boulevard and Sahara Avenue
